VoiceClip_No,TextTranscript,label,processed_content
Voice118,words explain how bad this company had issue with router for didnt have access data througout the time but had pay they couldnt fix the issue all this time after dozen more only option had was else continue keep paying each month for data,Agg,words explain how bad this company had issue with router for didnt have access data througout the time but had pay they couldnt fix the issue all this time after dozen more only option had was else continue keep paying each month for data
Voice219,worst customer service the people working the call center are careless and absolutely unprofessional useless regional manager,Agg,worst customer service the people working the call center are careless and absolutely unprofessional useless regional manager
Voice247,last time called your agent said technical support will sent place within the but nobody guys are terrible believe how bad this service,Agg,last time called your agent said technical support will sent place within the but nobody guys are terrible believe how bad this service
Voice166,very poor you seek customers money only whenever connect internet says complained over times but not any action,Agg,very poor you seek customers money only whenever connect internet says complained over times but not any action
Voice69,not that efficient informed them remove internet connection and had call them several times get removed,Agg,not that efficient informed them remove internet connection and had call them several times get removed
Voice93,worst service not returning slow internet speed and transparency data peo connection also the worst cable service provider ever,Agg,worst service not returning slow internet speed and transparency data peo connection also the worst cable service provider ever
Voice74,your service has been consistently constant outages and slow frustrated and considering switching the process disconnect your service,Agg,your service has been consistently constant outages and slow frustrated and considering switching the process disconnect your service
Voice220,experienced poor customer service for the first time with slt this reported router fault customer technician called and didnt turn and the complaint was closed with out resolving,Agg,experienced poor customer service for the first time with slt this reported router fault customer technician called and didnt turn and the complaint was closed with out resolving
Voice179,your online service 1212 really calls are not called the hotline twice waited online for close minutes both calls but body why you call hotline even the online messenger service never answered,Agg,your online service 1212 really calls are not called the hotline twice waited online for close minutes both calls but body why you call hotline even the online messenger service never answered
Voice247,really disappointed about the service all most nearly 2months requested fiber connection but still,Agg,really disappointed about the service all most nearly 2months requested fiber connection but still
Voice 63,phone service still down after your lack urgency fix now switching provider who,Agg,phone service still down after your lack urgency fix now switching provider who
Voice252,worst customer service doesnt respond complaints tech filed over complaints for the same issue over the last month still fixed given any responses,Agg,worst customer service doesnt respond complaints tech filed over complaints for the same issue over the last month still fixed given any responses
Voice113,since this business entirely depend this has given top attention this this not and want connection reconnected right,Agg,since this business entirely depend this has given top attention this this not and want connection reconnected right
Voice211,fix the fiber cable hanging the electrical line the voice and your pathetic router cutting this within today else you will loose,Agg,fix the fiber cable hanging the electrical line the voice and your pathetic router cutting this within today else you will loose
Voice138,you people are been hold,Agg,you people are been hold
Voice259,line inactive for matara office they pick cut urgent complaint this unacceptable for,Agg,line inactive for matara office they pick cut urgent complaint this unacceptable for
Voice125,contact 1212 useless your automated chat service horrible,Agg,contact 1212 useless your automated chat service horrible
Voice211,worse customer service they should learn how treat was pregnant that came here represent with the letter husband was also unable come those customer service agent harassed,Agg,worse customer service they should learn how treat was pregnant that came here represent with the letter husband was also unable come those customer service agent harassed
Voice260,contact 1212 useless your automated chat service horrible,Agg,contact 1212 useless your automated chat service horrible
Voice141,phone number always busy not hardly responding very poor going permanently disconnected land line with peo and will move some other loyal service provide,Agg,phone number always busy not hardly responding very poor going permanently disconnected land line with peo and will move some other loyal service provide
Voice107,what bullshit are you talking paid how can you say that the payment,Agg,what bullshit are you talking paid how can you say that the payment
Voice205,experienced poor customer service for the first time with slt this reported router fault customer technician called and didnt turn and the complaint was closed with out resolving,Agg,experienced poor customer service for the first time with slt this reported router fault customer technician called and didnt turn and the complaint was closed with out resolving
Voice200,contact 1212 useless your automated chat service horrible,Agg,contact 1212 useless your automated chat service horrible
Voice241,1212 hotline takes ages answer the got work and cant holding the phone forever,Agg,1212 hotline takes ages answer the got work and cant holding the phone forever
Voice110,worse customer service they should learn how treat was pregnant that came here represent with the letter husband was also unable come those customer service agent harassed,Agg,worse customer service they should learn how treat was pregnant that came here represent with the letter husband was also unable come those customer service agent harassed
Voice93,have tried contact 1212 for the last one why isnt this place are just paying not even call when complaints are,Agg,have tried contact 1212 for the last one why isnt this place are just paying not even call when complaints are
Voice197,been more than weeks since mother requested for detailed bill for her landline,Agg,been more than weeks since mother requested for detailed bill for her landline
voice13,very poor service telephone not contact technical,Agg,very poor service telephone not contact technical
Voice148,why hard work for days and did not respond quickly for the complaints cancelled and changed still they keep sending statements and says cannot cancel till certain time,Agg,why hard work for days and did not respond quickly for the complaints cancelled and changed still they keep sending statements and says cannot cancel till certain time
Voice67,can you please tell them urgent and running business want you solve connection today,Agg,can you please tell them urgent and running business want you solve connection today
Voice85,the worst telephone service the whole when you call any landline you get this awful sri lankan music wasting time money for please sell this useless company india shut,Agg,the worst telephone service the whole when you call any landline you get this awful sri lankan music wasting time money for please sell this useless company india shut
Voice193,the agent did not provide clear instructions how submit required documents get the new fiber you assign person who knows how this process need this connection urgently,Agg,the agent did not provide clear instructions how submit required documents get the new fiber you assign person who knows how this process need this connection urgently
Voice67,called the customer service 2nd december 2020 the number which mentioned the the gentleman who answered the phone very rude and help clarify the very bad customer,Agg,called the customer service 2nd december 2020 the number which mentioned the the gentleman who answered the phone very rude and help clarify the very bad customer
Voice135,the customer service agent was rude and,Agg,the customer service agent was rude and
Voice103,the absolute worst service encountered you slt will just take our money and give headaches,Agg,the absolute worst service encountered you slt will just take our money and give headaches
Voice97,slt used the best service provider telecommunication but now are robbing people unwanted subscription fees,Agg,slt used the best service provider telecommunication but now are robbing people unwanted subscription fees
Voice130,contact 1212 useless your automated chat service horrible,Agg,contact 1212 useless your automated chat service horrible
Voice21,for what purpose have you guys mentioned the contact one answering the,Agg,for what purpose have you guys mentioned the contact one answering the
Voice195,wifi not working without that cannot using mobile data right now have lot meetings for that need the can you inform your team come soon possible,Agg,wifi not working without that cannot using mobile data right now have lot meetings for that need the can you inform your team come soon possible
Voice192,your automated fault complain hotline have wait least mins get contact with call center even then they give little customer service absolutely would not recommend anyone,Agg,your automated fault complain hotline have wait least mins get contact with call center even then they give little customer service absolutely would not recommend anyone
Voice257,line inactive for matara office they pick cut urgent complaint this unacceptable for,Agg,line inactive for matara office they pick cut urgent complaint this unacceptable for
Voice4,what the real problem with this cant get our work done easily,Agg,what the real problem with this cant get our work done easily
Voice185,worst customer service the people working the call center are careless and absolutely unprofessional useless regional manager,Agg,worst customer service the people working the call center are careless and absolutely unprofessional useless regional manager
Voice194,just made payment your myslt but account still shows outstanding happened twice why cant you all update your systems,Agg,just made payment your myslt but account still shows outstanding happened twice why cant you all update your systems
Voice103,very poor you seek customers money only whenever connect internet says complained over times but not any action,Agg,very poor you seek customers money only whenever connect internet says complained over times but not any action
Voice220,just spoke over the and not happy about how one your agents help your team more polite and customer service,Agg,just spoke over the and not happy about how one your agents help your team more polite and customer service
Voice172,services provided worse than government internet breaks down technical team only works from 9am you have issues any time after 5pm will have wait whole day get,Agg,services provided worse than government internet breaks down technical team only works from 9am you have issues any time after 5pm will have wait whole day get
Voice110,just made payment your myslt but account still shows outstanding happened twice why cant you all update your systems,Agg,just made payment your myslt but account still shows outstanding happened twice why cant you all update your systems
Voice37,get really dissapointed when network problem while important zoom and also you answer for long period not use slt connections,Agg,get really dissapointed when network problem while important zoom and also you answer for long period not use slt connections
Voice46,very poor has not been working more than week twice but unable connection and broadband also not working since days complain any response yet,Agg,very poor has not been working more than week twice but unable connection and broadband also not working since days complain any response yet
Voice112,poor customer service you have the most ineffective telecommunications customer service ever,Agg,poor customer service you have the most ineffective telecommunications customer service ever
Voice170,most useless customer service last day keep trying 1212 number one answer the calls,Agg,most useless customer service last day keep trying 1212 number one answer the calls
Voice124,pay big big amounts your service and this what get the with your want you fix issue soon,Agg,pay big big amounts your service and this what get the with your want you fix issue soon
Voice21,worst customer service have ever hotline numbers always,Agg,worst customer service have ever hotline numbers always
Voice27,what the real problem with this cant get our work done easily,Agg,what the real problem with this cant get our work done easily
voice42,your promise callback from regarding complaint this negligence and tolerate being,Agg,your promise callback from regarding complaint this negligence and tolerate being
Voice255,today your technician came place fix the internet problem and that person dose not know how talk their customers want make complain against that technician,Agg,today your technician came place fix the internet problem and that person dose not know how talk their customers want make complain against that technician
Voice154,1212 hotline takes ages answer the got work and cant holding the phone forever,Agg,1212 hotline takes ages answer the got work and cant holding the phone forever
Voice220,the call dropped repeatedly during conversation with your fix your lousy service,Agg,the call dropped repeatedly during conversation with your fix your lousy service
Voice146,wifi not working without that cannot using mobile data right now have lot meetings for that need the can you inform your team come soon possible,Agg,wifi not working without that cannot using mobile data right now have lot meetings for that need the can you inform your team come soon possible
Voice211,worst customer service have ever called them more than times and visited times and still each time they said someone will come home fix but not single person came called,Agg,worst customer service have ever called them more than times and visited times and still each time they said someone will come home fix but not single person came called
Voice118,can you please tell them urgent and running business want you solve connection today,Agg,can you please tell them urgent and running business want you solve connection today
Voice248,the agent did not provide clear instructions how submit required documents get the new fiber you assign person who knows how this process need this connection urgently,Agg,the agent did not provide clear instructions how submit required documents get the new fiber you assign person who knows how this process need this connection urgently
Voice135,been more than weeks since mother requested for detailed bill for her landline,Agg,been more than weeks since mother requested for detailed bill for her landline
Voice255,services provided worse than government internet breaks down technical team only works from 9am you have issues any time after 5pm will have wait whole day get,Agg,services provided worse than government internet breaks down technical team only works from 9am you have issues any time after 5pm will have wait whole day get
Voice179,been more than weeks since mother requested for detailed bill for her landline,Agg,been more than weeks since mother requested for detailed bill for her landline
Voice230,very disappointed say that there response your phone and there responsible officer file any asked 1212 about this and even they provide proper details,Agg,very disappointed say that there response your phone and there responsible officer file any asked 1212 about this and even they provide proper details
Voice148,much attitude with these people who work this goes the slt call center,Agg,much attitude with these people who work this goes the slt call center
Voice174,this the worst service the world they care about the web site there customer service its cannot access your know anything have call the point customer service they have access our,Agg,this the worst service the world they care about the web site there customer service its cannot access your know anything have call the point customer service they have access our
Voice86,connection not stable have sent them emails and called slt more than times inform about the their customer service representatives are always keeping records and they always said that ticket prioritized their list but nothing happened,Agg,connection not stable have sent them emails and called slt more than times inform about the their customer service representatives are always keeping records and they always said that ticket prioritized their list but nothing happened
Voice158,worst service ever and the worst customer care they never trying resolve the problem and always passing the ball another,Agg,worst service ever and the worst customer care they never trying resolve the problem and always passing the ball another
Voice106,last time called your agent said technical support will sent place within the but nobody guys are terrible believe how bad this service,Agg,last time called your agent said technical support will sent place within the but nobody guys are terrible believe how bad this service
Voice147,have tried contact 1212 for the last one why isnt this place are just paying not even call when complaints are,Agg,have tried contact 1212 for the last one why isnt this place are just paying not even call when complaints are
Voice65,very have been requesting for fiber connection for past even though the location slt fulfill request,Agg,very have been requesting for fiber connection for past even though the location slt fulfill request
Voice228,how long will you all take fix this need sloution soon possible,Agg,how long will you all take fix this need sloution soon possible
Voice250,poor customer service you have the most ineffective telecommunications customer service ever,Agg,poor customer service you have the most ineffective telecommunications customer service ever
Voice61,have loss signal blinking red lights los flashing red after the only looked indoors and this happened few hours ago before the paid blame better fix quickly,Agg,have loss signal blinking red lights los flashing red after the only looked indoors and this happened few hours ago before the paid blame better fix quickly
Voice180,phones are not been waiting for line transferred since february still waiting for will you connect the required,Agg,phones are not been waiting for line transferred since february still waiting for will you connect the required
Voice140,tell your technical people come and check else they change the new router whatever they can and want get back,Agg,tell your technical people come and check else they change the new router whatever they can and want get back
Voice48,fed with your phone service has been down for your lack urgency fix immediately,Agg,fed with your phone service has been down for your lack urgency fix immediately
Voice153,slt used the best service provider telecommunication but now are robbing people unwanted subscription fees,Agg,slt used the best service provider telecommunication but now are robbing people unwanted subscription fees
Voice257,received bill for line canceled last make sure update your system about cancellation that wont getting bills the,Agg,received bill for line canceled last make sure update your system about cancellation that wont getting bills the
Voice175,what the real problem with this cant get our work done easily,Agg,what the real problem with this cant get our work done easily
Voice176,even answer phone either keeps ringing line busy especially during lunch bunch pathetic customer support,Agg,even answer phone either keeps ringing line busy especially during lunch bunch pathetic customer support
Voice185,why hard work for days and did not respond quickly for the complaints cancelled and changed still they keep sending statements and says cannot cancel till certain time,Agg,why hard work for days and did not respond quickly for the complaints cancelled and changed still they keep sending statements and says cannot cancel till certain time
Voice234,have been ever seen was applied conection now more then one month but still slt not provided connection and homagama slt phone also not answering,Agg,have been ever seen was applied conection now more then one month but still slt not provided connection and homagama slt phone also not answering
Voice217,very poor you seek customers money only whenever connect internet says complained over times but not any action,Agg,very poor you seek customers money only whenever connect internet says complained over times but not any action
Voice258,tired your this and your support,Agg,tired your this and your support
Voice102,very have been requesting for fiber connection for past even though the location slt fulfill,Agg,very have been requesting for fiber connection for past even though the location slt fulfill
Voice206,tired your this and your support,Agg,tired your this and your support
Voice217,staff not enough provide good more problems due system takes long time get even simple thing,Agg,staff not enough provide good more problems due system takes long time get even simple thing
Voice4,received bill for line canceled last make sure update your system about cancellation that wont getting bills the,Agg,received bill for line canceled last make sure update your system about cancellation that wont getting bills the
Voice140,fed with your phone service has been down for your lack urgency fix immediately,Agg,fed with your phone service has been down for your lack urgency fix immediately
Voice242,not that efficient informed them remove internet connection and had call them several times get removed,Agg,not that efficient informed them remove internet connection and had call them several times get removed
Voice138,internet and crippling immediate action this level service and tolerate any,Agg,internet and crippling immediate action this level service and tolerate any
Voice236,worst customer service have ever hotline numbers always,Agg,worst customer service have ever hotline numbers always
Voice258,your call center agents takes ages answer the phone call and have stay line for more that you think are jobless people like you,Agg,your call center agents takes ages answer the phone call and have stay line for more that you think are jobless people like you
Voice252,poor customer service you have the most ineffective telecommunications customer service ever,Agg,poor customer service you have the most ineffective telecommunications customer service ever
Voice107,the call center agent provided unclear information about data your agents,Agg,the call center agent provided unclear information about data your agents
Voice96,your customer service agent was unbelievably rude and utterly demand immediate explanation and resolution this outrageous tolerate such,Agg,your customer service agent was unbelievably rude and utterly demand immediate explanation and resolution this outrageous tolerate such
Voice166,worst service ever and the worst customer care they never trying resolve the problem and always passing the ball another,Agg,worst service ever and the worst customer care they never trying resolve the problem and always passing the ball another
Voice152,have been charged for internet peo all sudden for which never neither have router for neither see any connection,Agg,have been charged for internet peo all sudden for which never neither have router for neither see any connection
Voice154,for what purpose have you guys mentioned the contact one answering the,Agg,for what purpose have you guys mentioned the contact one answering the
Voice140,connection not stable have sent them emails and called slt more than times inform about the their customer service representatives are always keeping records and they always said that ticket prioritized their list but nothing happened,Agg,connection not stable have sent them emails and called slt more than times inform about the their customer service representatives are always keeping records and they always said that ticket prioritized their list but nothing happened
Voice46,phones are not been waiting for line transferred since february still waiting for will you connect the required,Agg,phones are not been waiting for line transferred since february still waiting for will you connect the required
Voice106,your automated fault complain hotline have wait least mins get contact with call center even then they give little customer service absolutely would not recommend anyone,Agg,your automated fault complain hotline have wait least mins get contact with call center even then they give little customer service absolutely would not recommend anyone
Voice9,being billed for something never asked for return the additionally charged money make sure update your systems avoid such inconveniences,Agg,being billed for something never asked for return the additionally charged money make sure update your systems avoid such inconveniences
Voice152,have two numbers for which are not getting physical get physical bill prefer getting physical bill rather than getting not all the people are updated with the new,Agg,have two numbers for which are not getting physical get physical bill prefer getting physical bill rather than getting not all the people are updated with the new
Voice215,customer care but technical support takes service good though,Agg,customer care but technical support takes service good though
Voice196,your agent talked back with beyond,Agg,your agent talked back with beyond
Voice43,received bill for line canceled last make sure update your system about cancellation that wont getting bills the,Agg,received bill for line canceled last make sure update your system about cancellation that wont getting bills the
Voice96,worst customer service the people working the call center are careless and absolutely unprofessional useless regional manager,Agg,worst customer service the people working the call center are careless and absolutely unprofessional useless regional manager
Voice110,your ivr system maze and can never reach real,Agg,your ivr system maze and can never reach real
Voice172,very poor and slow your websites are not working will have very much patient you want pay the bill always asks try again disrecommending other trying get newer connection from,Agg,very poor and slow your websites are not working will have very much patient you want pay the bill always asks try again disrecommending other trying get newer connection from
Voice241,your 1212 hotline has endless loops and driving,Agg,your 1212 hotline has endless loops and driving
Voice97,something soon canceling your unacceptable enough enough,Agg,something soon canceling your unacceptable enough enough
Voice113,fed with your billing where are hard copy want them not some lame text fix this billing mess,Agg,fed with your billing where are hard copy want them not some lame text fix this billing mess
Voice209,complain was done under the name last week and have been calling slt numerous times but still get anyone fix this,Agg,complain was done under the name last week and have been calling slt numerous times but still get anyone fix this
Voice239,worst service not returning slow internet speed and transparency data peo connection also the worst cable service provider ever,Agg,worst service not returning slow internet speed and transparency data peo connection also the worst cable service provider ever
Voice222,this the worst service the world they care about the web site there customer service its cannot access your know anything have call the point customer service they have access our,Agg,this the worst service the world they care about the web site there customer service its cannot access your know anything have call the point customer service they have access our
Voice259,have made complaint regarding the picture not appearing our have been making this complain from yesterday,Agg,have made complaint regarding the picture not appearing our have been making this complain from yesterday
Voice18,because first half the time they pick the when call they cut phone and why calling you,Agg,because first half the time they pick the when call they cut phone and why calling you
Voice219,very disappointed say that there response your phone and there responsible officer file any asked 1212 about this and even they provide proper details,Agg,very disappointed say that there response your phone and there responsible officer file any asked 1212 about this and even they provide proper details
Voice153,requested data plan but your agent mishandled this ensure your staff processes requests,Agg,requested data plan but your agent mishandled this ensure your staff processes requests
Voice100,worst customer service and responding one answering the phone worst worst,Agg,worst customer service and responding one answering the phone worst worst
Voice141,actually made this complaint yellow you know that cable that goes from the set box the that got now made reported one attended the are travel company and need this attended extremely really dissappointed with your service,Agg,actually made this complaint yellow you know that cable that goes from the set box the that got now made reported one attended the are travel company and need this attended extremely really dissappointed with your service
Voice267,been asking for five days reactivate but the kandy branch office often not picking and even disconnecting need this and filing complaint,Agg,been asking for five days reactivate but the kandy branch office often not picking and even disconnecting need this and filing complaint
Voice161,why cant you respond issues you address customer concerns take business elsewhere,Agg,why cant you respond issues you address customer concerns take business elsewhere
Voice161,really disappointed about the service all most nearly 2months requested fiber connection but still,Agg,really disappointed about the service all most nearly 2months requested fiber connection but still
Voice96,what bullshit are you talking paid how can you say that the payment,Agg,what bullshit are you talking paid how can you say that the payment
Voice191,worst customer service people dont respond complaints tech filed over complaints for the same issue over the last month still fixed given any responses,Agg,worst customer service people dont respond complaints tech filed over complaints for the same issue over the last month still fixed given any responses
Voice158,your customer service agent was unbelievably rude and utterly demand immediate explanation and resolution this outrageous tolerate such,Agg,your customer service agent was unbelievably rude and utterly demand immediate explanation and resolution this outrageous tolerate such
Voice194,worst customer service provided the called the contact number agent kotte branch given maharagama make compliant since there response for refund request made 21st november 2023 8th january when informed that have made request for refund and still has not been,Agg,worst customer service provided the called the contact number agent kotte branch given maharagama make compliant since there response for refund request made 21st november 2023 8th january when informed that have made request for refund and still has not been
Voice81,the worst telephone service the whole when you call any landline you get this awful sri lankan music wasting time money for please sell this useless company india shut,Agg,the worst telephone service the whole when you call any landline you get this awful sri lankan music wasting time money for please sell this useless company india shut
Voice183,can you please tell them urgent and running business want you solve connection today,Agg,can you please tell them urgent and running business want you solve connection today
Voice253,the customer service agent was rude and,Agg,the customer service agent was rude and
Voice3,made complaint today did not get any calls from you guys for the technical issues because working from home and need the internet and need get this done urgently,Agg,made complaint today did not get any calls from you guys for the technical issues because working from home and need the internet and need get this done urgently
Voice4,calling reactivate been requesting this for the last three days and still not connected want raise complaint against your regional,Agg,calling reactivate been requesting this for the last three days and still not connected want raise complaint against your regional
Voice9,actually made this complaint yellow you know that cable that goes from the set box the that got now made reported one attended the are travel company and need this attended extremely really dissappointed with your service,Agg,actually made this complaint yellow you know that cable that goes from the set box the that got now made reported one attended the are travel company and need this attended extremely really dissappointed with your service
voice13,have two numbers for which are not getting physical get physical bill prefer getting physical bill rather than getting not all the people are updated with the new,Agg,have two numbers for which are not getting physical get physical bill prefer getting physical bill rather than getting not all the people are updated with the new
Voice18,sick this garbage internet and useless router fix more patience for your,Agg,sick this garbage internet and useless router fix more patience for your
Voice21,have loss signal blinking red lights los flashing red after the only looked indoors and this happened few hours ago before the paid blame better fix quickly,Agg,have loss signal blinking red lights los flashing red after the only looked indoors and this happened few hours ago before the paid blame better fix quickly
Voice22,have made complaint regarding the picture not appearing our have been making this complain from yesterday,Agg,have made complaint regarding the picture not appearing our have been making this complain from yesterday
Voice27,why that you people get delay giving response from your office have been waiting after minutes only you are all connected far possible try conduct early possible which really good for everybody,Agg,why that you people get delay giving response from your office have been waiting after minutes only you are all connected far possible try conduct early possible which really good for everybody
Voice28,wifi not working without that cannot using mobile data right now have lot meetings for that need the can you inform your team come soon possible,Agg,wifi not working without that cannot using mobile data right now have lot meetings for that need the can you inform your team come soon possible
Voice29,made complain regarding fiber connction last week and been calling for the past three not doing their,Agg,made complain regarding fiber connction last week and been calling for the past three not doing their
Voice35,fix the fiber cable hanging the electrical line the voice and your pathetic router cutting this within today else you will loose,Agg,fix the fiber cable hanging the electrical line the voice and your pathetic router cutting this within today else you will loose
Voice36,fed with your billing where are hard copy want them not some lame text fix this billing mess,Agg,fed with your billing where are hard copy want them not some lame text fix this billing mess
Voice37,want disconnect slt line cause have been calling you all for the past few days telling that internet connection not working and none you all attended problem usless slt services,Agg,want disconnect slt line cause have been calling you all for the past few days telling that internet connection not working and none you all attended problem usless slt services
Voice39,one your agent was really rude want complain about your bloody agent,Agg,one your agent was really rude want complain about your bloody agent
voice42,phone service still down after your lack urgency fix now switching provider who,Agg,phone service still down after your lack urgency fix now switching provider who
Voice43,tired your this and your support,Agg,tired your this and your support
Voice46,you people are been hold,Agg,you people are been hold
Voice48,last time called your agent said technical support will sent place within the but nobody guys are terrible believe how bad this service,Agg,last time called your agent said technical support will sent place within the but nobody guys are terrible believe how bad this service
Voice51,fed with your phone service has been down for your lack urgency fix immediately,Agg,fed with your phone service has been down for your lack urgency fix immediately
Voice56,your agent been passed and problem getting tired the,Agg,your agent been passed and problem getting tired the
Voice 57,your ivr system maze and can never reach real,Agg,your ivr system maze and can never reach real
Voice60,today your technician came place fix the internet problem and that person dose not know how talk their customers want make complain against that technician,Agg,today your technician came place fix the internet problem and that person dose not know how talk their customers want make complain against that technician
Voice61,been asking for five days reactivate but the kandy branch office often not picking and even disconnecting need this and filing complaint,Agg,been asking for five days reactivate but the kandy branch office often not picking and even disconnecting need this and filing complaint
Voice 63,line inactive for matara office they pick cut urgent complaint this unacceptable for,Agg,line inactive for matara office they pick cut urgent complaint this unacceptable for
Voice65,internet painfully making work can you fix,Agg,internet painfully making work can you fix
Voice67,have been calling telcome for the past two days fix internet connection which got disconnected because the heavy until now one came fix the,Agg,have been calling telcome for the past two days fix internet connection which got disconnected because the heavy until now one came fix the
Voice69,patience running internet outages every paying for not tolerate this any really disappointed with your,Agg,patience running internet outages every paying for not tolerate this any really disappointed with your
Voice72,your service has been consistently constant outages and slow frustrated and considering switching the process disconnect your service,Agg,your service has been consistently constant outages and slow frustrated and considering switching the process disconnect your service
Voice74,internet and killing demand immediate action fix,Agg,internet and killing demand immediate action fix
Voice76,internet and crippling immediate action this level service and tolerate any,Agg,internet and crippling immediate action this level service and tolerate any
Voice79,made router payment last week but not the error your not fix soon possible face tolerate this incompetence reconnect line,Agg,made router payment last week but not the error your not fix soon possible face tolerate this incompetence reconnect line
Voice81,got red lights router and been complaning action tolerate get your act together and restore service this and demand urgent resolution,Agg,got red lights router and been complaning action tolerate get your act together and restore service this and demand urgent resolution
Voice82,requested data plan but your agent mishandled this ensure your staff processes requests,Agg,requested data plan but your agent mishandled this ensure your staff processes requests
Voice85,internet and the person talked they need better people lose fix internet now find someone who can disconnecting the slt services,Agg,internet and the person talked they need better people lose fix internet now find someone who can disconnecting the slt services
Voice86,channels are blurry and can you fix soon can watch without any,Agg,channels are blurry and can you fix soon can watch without any
Voice89,your resolution for previous complaint demand satisfactory solution this incompetence disappointed,Agg,your resolution for previous complaint demand satisfactory solution this incompetence disappointed
Voice91,your customer service agent was unbelievably rude and utterly demand immediate explanation and resolution this outrageous tolerate such,Agg,your customer service agent was unbelievably rude and utterly demand immediate explanation and resolution this outrageous tolerate such
Voice92,the call dropped repeatedly during conversation with your fix your lousy service,Agg,the call dropped repeatedly during conversation with your fix your lousy service
Voice93,your agent failed provide timely response you all could better service than,Agg,your agent failed provide timely response you all could better service than
Voice94,your promise callback from regarding complaint this negligence and tolerate being,Agg,your promise callback from regarding complaint this negligence and tolerate being
Voice96,received bill for line canceled last make sure update your system about cancellation that wont getting bills the,Agg,received bill for line canceled last make sure update your system about cancellation that wont getting bills the
Voice97,being billed for something never asked for return the additionally charged money make sure update your systems avoid such inconveniences,Agg,being billed for something never asked for return the additionally charged money make sure update your systems avoid such inconveniences
Voice100,the agent who answered call today took over minutes provide and had wait the line for that entire slt failing service dialog employee would better job than you guys,Agg,the agent who answered call today took over minutes provide and had wait the line for that entire slt failing service dialog employee would better job than you guys
Voice102,what bullshit are you talking paid how can you say that the payment,Agg,what bullshit are you talking paid how can you say that the payment
Voice103,the agent did not provide clear instructions how submit required documents get the new fiber you assign person who knows how this process need this connection urgently,Agg,the agent did not provide clear instructions how submit required documents get the new fiber you assign person who knows how this process need this connection urgently
Voice106,the representative was unprofessional during our your agents how talk with the customers poliety,Agg,the representative was unprofessional during our your agents how talk with the customers poliety
Voice107,just spoke over the and not happy about how one your agents help your team more polite and customer service,Agg,just spoke over the and not happy about how one your agents help your team more polite and customer service
Voice109,calling because you guys over charged subscription for you guys supposed flat rate 3000 per month but for some seeinng 6400 bill for the month know whats going really need explanation,Agg,calling because you guys over charged subscription for you guys supposed flat rate 3000 per month but for some seeinng 6400 bill for the month know whats going really need explanation
Voice110,can you please tell them urgent and running business want you solve connection today,Agg,can you please tell them urgent and running business want you solve connection today
Voice112,fed with unreliable service and billing canceling your,Agg,fed with unreliable service and billing canceling your
Voice113,complain was done under the name last week and have been calling slt numerous times but still get anyone fix this,Agg,complain was done under the name last week and have been calling slt numerous times but still get anyone fix this
Voice115,had hard time reaching your department using the given contact they answer the phone calls hope you understand how important,Agg,had hard time reaching your department using the given contact they answer the phone calls hope you understand how important
Voice118,promised callback complaint but never this really need you take action this matter right away,Agg,promised callback complaint but never this really need you take action this matter right away
Voice122,want make complain against the kiribathgoda workshop really upset the disrespectful actions your kiribathgoda workshop know how handle their customers with respect,Agg,want make complain against the kiribathgoda workshop really upset the disrespectful actions your kiribathgoda workshop know how handle their customers with respect
Voice123,just made payment your myslt but account still shows outstanding happened twice why cant you all update your systems,Agg,just made payment your myslt but account still shows outstanding happened twice why cant you all update your systems
Voice124,believe was put hold for over wanted give but cause wanted solution and sometimes your agents does not answer the,Agg,believe was put hold for over wanted give but cause wanted solution and sometimes your agents does not answer the
Voice125,your call center agents takes ages answer the phone call and have stay line for more that you think are jobless people like you,Agg,your call center agents takes ages answer the phone call and have stay line for more that you think are jobless people like you
Voice128,because first half the time they pick the when call they cut phone and why calling you,Agg,because first half the time they pick the when call they cut phone and why calling you
Voice130,why you guys always tell that complain not recoreded the mad complain about your service another telecomunication should your check properly,Agg,why you guys always tell that complain not recoreded the mad complain about your service another telecomunication should your check properly
Voice133,the call center agent provided unclear information about data your agents,Agg,the call center agent provided unclear information about data your agents
Voice135,your service the worst service ever got,Agg,your service the worst service ever got
Voice136,since this business entirely depend this has given top attention this this not and want connection reconnected right,Agg,since this business entirely depend this has given top attention this this not and want connection reconnected right
Voice137,made few complaints last few but still one attending the resolved that you please get this done expect better services from you,Agg,made few complaints last few but still one attending the resolved that you please get this done expect better services from you
Voice138,something soon canceling your unacceptable enough enough,Agg,something soon canceling your unacceptable enough enough
Voice140,what you mean not been calling for the last three days and are you kidding,Agg,what you mean not been calling for the last three days and are you kidding
Voice141,1212 hotline takes ages answer the got work and cant holding the phone forever,Agg,1212 hotline takes ages answer the got work and cant holding the phone forever
Voice143,what the real problem with this cant get our work done easily,Agg,what the real problem with this cant get our work done easily
Voice144,how long will you all take fix this need sloution soon possible,Agg,how long will you all take fix this need sloution soon possible
Voice146,pay big big amounts your service and this what get the with your want you fix issue soon,Agg,pay big big amounts your service and this what get the with your want you fix issue soon
Voice147,switching provider who values customers since your service not acceptable,Agg,switching provider who values customers since your service not acceptable
Voice148,your agent was unable guide through the process updating personal,Agg,your agent was unable guide through the process updating personal
Voice150,how can request get physical your billing method mess and its annoying,Agg,how can request get physical your billing method mess and its annoying
Voice151,the customer service agent was rude and,Agg,the customer service agent was rude and
